Program,enwik8,enwik9,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
crook v0.1        -m1600 -O8,22503627,193333159,8539,s,193341698,483,513,1641,PPM,26
ppmx 0.03,22572808,193643464,54964,x,193698428,777,784,609,PPM,26
lzturbo 1.1       -49 -b1000 -p0,24416777,194681713,110670,x,194792383,1920,9,14700,LZ77,59
enc 0.15          aq,22156982,195604166,94888,x,195699054,6843,6868,50,CM,
comprolz 0.11.0-bugfix1  -b250 -f,22813215,196651379,29453,x,196680832,984,308,688,ROLZ,26
sbc 0.970r2       -ad -m3 -b63,22470539,197066203,99094,xd,197165297,1733,313,224,BWT,
xz 5.2.1--lzma2=preset=9edict=1GiBlc=4pb=0,24703772,197331816,36752,xd,197368568,5876,20,6000,LZ77,73
WinRAR 3.60b3     -mc7:128t+ -sfxWinCon.sfx,22713569,198454545,0,xd,198454545,506,415,128,PPM,
quark v0.95r beta -m1 -d25 -l8,22988924,198600023,80264,x,198680287,27952,217,534,LZ77,
lzip 1.14-rc3     -9 -s512MiB,24756063,199410543,21682,s,199432225,2409,21,5632,LZ77,57
comprox 0.11.0-bugfix1 -b250 -f -m100,23064386,199515912,34176,x,199550088,917,153,688,LZ77,26
bssc 0.95 alpha   -b16383,23117061,201810709,45489,x,201856198,578,217,140,BWT,4
flashzip 1.0.0    -mx7 -b7,23869034,202363445,123053,x,202486498,1296,122,802,ROLZ,26
lzham 1.0         -d29 -x,25002070,202237199,191600,s,202428799,1096,6.6,7800,LZ77,70
csarc 3.3         -m5 -d1024m,24516202,203995005,69848,s,204064853,621,22,2463,LZ77,48
packet 1.9        -mx -b512 -h8,24968492,204195438,261967,x,204457405,974,14,2824,LZ77,48
uharc 0.6b        -mx -md32768,23911123,208026696,73608,xd,208100304,1666,1330,50,PPM,
TarsaLZP Jan 29 2012,24751389,208867187,13081,s,208880268,203,,~2000,LZP,54
GRZipII 0.2.4     -b8m,23846878,208993966,41645,s,209035641,312,216,58,BWT,
4x4 0.2a          4t (grzip:m1:h18),23833244,208787642,317097,x,209104739,386,240,269,BWT,
rzm 0.07h,24361070,210126103,17667,x,210143770,2336,81,160,ROLZ,
pim 2.50          best,24303638,210124895,330901,x,210455796,764,764,88,PPM,
CTW 0.1           -d6 -n16M -f16M,23670293,211995206,43247,x,212038452,19221,19524,144,CM,
boa 0.58b         -m15,24322643,213845481,55813,x,213901294,3953,4100,17,PPM,
yxz 0.11          -m9 -b7 -h6,25754856,214317684,131062,x,214448746,642,77,1590,LZ,26
zstd 0.6.0        -22 --ultra,25405601,215674670,69687,s,215744357,701,2.2,792,LZ77,76
tornado 0.6       -16,25768105,217749028,83694,s,217832722,1482,9,1290,LZ77,48
LZPXj 1.2h        9,25205783,217880584,4853,s,217885437,783,717,1316,PPM,
scmppm 0.93.3     -l 9,25198832,217867392,37043,s,217904435,708,644,20,PPM,
acb 2.00c         u,25063656,218473968,38976,x,218512944,10656,10883,16,LZ77,26
crushm,25013576,218656416,30097,x,218686513,617,649,39,CM,26
PX v1.0,24971871,219091398,3054,s,219094452,1838,1809,66,CM,3
DGCA 1.10         default+SFX,25203248,219655072,0,xd,219655072,858,270,76,,
Squeez 5.20.4600  sqx2.0 32MB Ultra,25118441,220004873,91019,xd,220095892,2575,116,365,,
fpaq2,25287775,221242386,3429,s,221245815,20183,20186,131,CM,
TinyCM 0.1        9,25913605,221773542,12553,x,221786095,1342,1330,1083,CM,26
dmc               c 1800000000,25320517,222605607,2220,s,222607827,676,721,1800,DMC,
lza 0.82b         -mx9 -b7 -h7,26396613,222808457,285766,x,223094223,449,9.7,2000,LZ77,48
brotli 18-Feb-2016 -q 11 -w 24,25764698,223597884,542385,s,224140269,3400,5.9,437,LZ77,48
szip 1.12a        -b41o16,26120472,227586463,31708,x,227618171,1191,289,21,BWT,26
balz 1.13         ex,26421416,228337644,49024,x,228286668,3700,190,206,ROLZ,
lzpm 0.11         9,26501542,229083971,46824,x,229130795,15395,57,740,ROLZ,
qazar 0.0pre5     -l7 -d9 -x7,26455170,229846871,71959,x,229918830,5738,903,105,LZP,
KuaiZip 2.3.2 x86,25895915,227905650,3857649,x,231763299,1061,47,197,LZ77,26
qc 0.050          -8,26763343,232784501,46100,x,232830601,8218,1503,151,,
ppms J            -o5,26310248,233442414,16467,x,233458881,330,354,1.8,PPM,
dzo beta,26616115,235056859,618883,x,235675742,1088,159,200,LZ77,26
comprox_ba 20110929,27828189,242846243,4134,s,242850377,397,101,226,BWTS,48
WinTurtle 1.60    512 MB buffer,28379612,245217944,160090,x,245378034,273,237,583,PPM,
diz,26545256,246679382,12945,s,246692327,21240,22746,1350,PPM,26
cabarc 1.00.0601  -m lzx:21,28465607,250756595,51917,xd,250808853,1619,15,20,LZ77,
sr3,28926691,253031980,9399,s,253054625,148,160,68,SR,26
bzip2 1.0.2       -9,29008736,253977839,30036,x,254007875,379,129,8,BWT,
rh5_x64           -window:27 c6,29078552,254220469,36744,x,254257213,196,9.4,145,ROLZ,48
RangeCoderC v1.7  c7 26,28788013,254527369,7858,x,254535227,2460,2436,1116,CM,26
quad v1.11        -x,29110579,256145858,13387,s,256159245,956,116,34,ROLZ,
WinACE            -sfx -m5 -d4096,29481470,257237710,0,xd,257237710,1080,77,4,,
lzsr 0.01,29433834,258912605,40287,x,258952892,194,88,6,LZ77,26
libzling 20160107 e4,29721114,259475639,35582,s,259511221,83,27,28,ROLZ,48
xpv5              c2,29963217,262525246,14371,x,262539617,2359,516,9,ROLZ,26
sr3c 1.0,29731019,266035006,7701,x,266042707,160,145,5,SR,26
lzc v0.08         10,30611315,266565255,11364,x,266576619,302,63,550,LZ77,
nakamichi 2019-Jul-01,32917888,277293058,112899,s,277405957,8200000,1.3,302000,LZSS,85
crush 1.00        cx,31731711,279491430,2489,s,279493919,948,2.9,148,LZ77,60
xeloz 0.3.5.3     c889,32441272,283621211,18771,s,283639982,1079,8,230,LZ77,48
bzp 0.2,31563865,283908295,36808,x,283945103,110,120,3,LZP,
lzwg              -27,34423369,284356322,19828,xd,284376150,135,41,1744,LZW,95
ha 0.98           a2,31250524,285739328,28404,x,285767732,2010,1800,0.8,PPM,
ulz 0.06          c9,32945292,291028084,49450,x,291077534,325,1.1,490,LZ77,82
irolz,33310676,292448365,4584,s,292452949,274,144,17,ROLZ,26
lcssr 0.2         -b7 -l9,34549048,296160661,8802,x,296169463,8186,8281,1184,SR,
zlite,33975840,298470807,4880,s,298475687,61,28,36,ROLZ,26
lazy 1.00         5,35024082,306245949,5986,s,306251935,273,24,96,LZ77,26
zhuff 0.97 beta   -c2,34907478,308530122,63209,x,308593331,24,3.5,32,LZ77,48
lzhhf,34848933,308825079,24576,xd,308849655,392,12,14,LZ77,95
slug 1.27,35093954,309201454,6809,x,309208263,32,28,14,ROLZ,
lzuf62,34960889,309837920,24576,xd,309862496,375,11,14,LZ77,95
