Program,enwik8,enwik8 ratio,enwik8 decomp,enwik9,enwik9 ratio,enwik9 decomp,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
dark 0.51         -b333mf,21169819,0.21169819,9589928007,175471417,0.175471417,79.488551901,34797,x,175506214,533,453,1692,BWT,
FreeArc 0.40pre-4 -mppmd:1012m:o13:r1,20931605,0.20931605,25452831680,175254732,0.175254732,213.109754112,748202,x,176002934,1175,1216,1046,PPM,
hook v1.4         1700,21990502,0.21990502,15283398890,176648663,0.176648663,122.770820785,37004,x,176685667,741,695,1777,DMC,26
7zip 4.46a        -m0=ppmd:mem=1630m:o=10 ...,21197559,0.21197559,11573867214,178965454,0.178965454,97.715137884,0,xd,178965454,503,546,1630,PPM,23
rings 2.5         -m8 -t1,20873959,0.20873959,3402455317,178747360,0.17874736,29.13581968,240523,x,178987883,280,163,2518,BWT,48
pimple2,20871457,0.20871457,375519254344,180251530,0.18025153,3243.08552776,78642,x,180330172,18474,17992,128,CM,
ash 04a           /m700 /o10,19963105,0.19963105,116844053565,180735542,0.180735542,1057.845127326,11137,x,180746679,6100,5853,700,CM,
bce3,22729148,0.22729148,55550037712,180732702,0.180732702,441.710723688,19889,s,180752591,1151,2444,5000,CM,71
ocamyd LTCB 1.0   -s0 -m3,21285121,0.21285121,2341363310000,182359986,0.182359986,20059.59846,21030,x,182381016,108960,110000,300,DMC,6
bee 0.79 b0154    -m3 -d8,20975994,0.20975994,194762104290,182373904,0.182373904,1693.34169864,57046,x,182430950,9295,9285,512,PPM,
uhbc 1.0          -m3 -b100m,20930838,0.20930838,16933047942,182918172,0.182918172,147.980801148,56242,x,182974414,1569,809,800,BWT,
smac 1.20,21781544,0.21781544,95817012056,183190888,0.183190888,805.856716312,4356,x,183195244,4249,4399,1542,CM,26
ppmd J1           -m256 -o10 -r1,21388296,0.21388296,19142524920,183964915,0.183964915,164.648598925,11099,s,183976014,880,895,256,PPM,
tc 5.2 dev 2,21481399,0.21481399,78514513345,184939711,0.184939711,675.954643705,41112,x,184980823,3637,3655,230,CM,
bwtsdc v1,23414955,0.23414955,9834281100,185709858,0.185709858,77.99814036,8421,s,185718279,2100,420,5213,BWT,47
fbc v1.1          333333334,22554133,0.22554133,9359965195,185975548,0.185975548,77.17985242,23576,x,185999124,451,415,1647,BWT,55
ppmvc v1.1        -m256 -o8 -r1,21484294,0.21484294,19615160422,186208405,0.186208405,170.008273765,25241,x,186233646,898,913,272,PPM,
chile 0.4         -b=244141,22218917,0.22218917,11376085504,186979614,0.186979614,95.733562368,11530,s,186991144,2513,512,1426,BWT,
bwtdisk 0.9.0     -b 2 -m 3500,24725277,0.24725277,0,190004306,0.190004306,0,169579,s,190173885,1124,,3500,BWT,48
