Program,enwik8,ratio,decomp vs size,enwik9,ratio,decomp vs size,Decompresser,,Total size enwik9+prog,Comp Time,Decomp Time,Mem,Alg,Note
fpaq0f2,56916872,56.916872,274960.734299517,558645708,0.558645708,2698771.53623188,3066,x,558648769,222,207,0.4,o0,
ppp,61657971,61.657971,1045050.3559322,579352307,0.579352307,9819530.62711864,1472,s,579353779,80,59,1,SR,
ksc               4,59511259,59.511259,7516.89516230896,580557413,0.580557413,73330.4803587217,13507,x,580570920,40050,7917,1700,SR,48
lzbw1 0.8,67620436,67.620436,5635036.33333333,590235688,0.590235688,49186307.3333333,21751,x,590257439,15,12,55,LZP,26
lzp2 0.7c,67909076,67.909076,8488634.5,598076882,0.598076882,74759610.25,40819,x,598117701,11,8,15,LZP,26
NTFS              LZNT1,76955648,76.955648,8550627.55555556,636870656,0.636870656,70763406.2222222,0,,636870656,10,9,0.1,LZ77,26
shindlet_fs,62890267,62.890267,610585.116504854,637390277,0.637390277,6188255.11650485,1275,xd,637391552,113,103,0.6,o0,
arb255,63501996,63.501996,24670.5501165501,644561595,0.644561595,250412.43006993,4871,sd,644566466,2551,2574,1.6,o0,
compact,63862371,63.862371,389404.701219512,648370029,0.648370029,3953475.78658537,3600,sd,648373629,216,164,0.2,o0,
TinyLZP 0.1,79220546,79.220546,2084751.21052632,694274932,0.694274932,18270392.9473684,2811,s,694277743,32,38,10,LZP,26
smile,71154788,71.154788,6832.60879585174,695562502,0.695562502,66791.0987132706,207,xd,695562709,10517,10414,0.6,MTF,26
barf              (2 passes),76074327,76.074327,1435364.66037736,758482743,0.758482743,14310995.1509434,983782,s,759466525,756,53,4,LZ77,
arb2x v20060602,99642909,99.642909,40439.492288961,995674993,0.995674993,404088.877029221,3433,sd,995678426,2616,2464,1.6,o0b,
