Standard,File,chunks,decompression_throughput_GBps,compression_throughput_GBps,ratio
zstd,500mb_sao,32768, 2.6523, 0.4981, 1.2737
zstd,500mb_sao,8192, 1.2921, 0.4167, 1.3047
zstd,500mb_sao,2048, 0.6551, 0.1267, 1.3162
zstd,500mb_sao,512, 0.3210, 0.0672, 1.3188
zstd,500mb_sao,128, 0.0944, 0.0199, 1.3193
zstd,500mb_sao,32, 0.0500, 0.0110, 1.3193
zstd,500mb_sao,8, 0.0476, 0.0110, 1.3193
snappy,500mb_xml,131072, 5.9517, 1.6680, 2.6977
snappy,500mb_xml,32768, 4.6877, 1.2355, 3.3322
snappy,500mb_xml,8192, 1.5919, 0.5195, 3.6995
snappy,500mb_xml,2048, 0.4315, 0.1447, 3.8083
snappy,500mb_xml,512, 0.2050, 0.0459, 3.8364
snappy,500mb_xml,128, 0.0854, 0.0198, 3.8425
snappy,500mb_xml,32, 0.0566, 0.0139, 3.8438
snappy,500mb_xml,8, 0.0566, 0.0139, 3.8438
zstd,500mb_xml,131072, 2.9604, 0.7522, 3.8179
zstd,500mb_xml,32768, 3.0039, 0.7368, 5.1593
zstd,500mb_xml,8192, 0.9630, 0.3338, 6.0399
zstd,500mb_xml,2048, 0.4522, 0.1020, 6.5364
zstd,500mb_xml,512, 0.2050, 0.0722, 6.7145
zstd,500mb_xml,128, 0.0770, 0.0372, 6.9958
zstd,500mb_xml,32, 0.0550, 0.0198, 6.8314
zstd,500mb_xml,8, 0.0550, 0.0198, 6.8314
