Standard,File,chunks,decompression_throughput_GBps,compression_throughput_GBps,ratio
snappy,500mb_sao,32768, 8.0758, 3.5670, 1.1020
snappy,500mb_sao,8192, 2.1302, 0.9242, 1.1066
snappy,500mb_sao,2048, 0.5371, 0.2293, 1.1078
snappy,500mb_sao,512, 0.1653, 0.0713, 1.1081
snappy,500mb_sao,128, 0.0430, 0.0186, 1.1082
snappy,500mb_sao,32, 0.0241, 0.0105, 1.1082
snappy,500mb_sao,8, 0.0241, 0.0105, 1.1082
zstd,500mb_xml,131072, 5.3067, 3.0192, 3.8179
zstd,500mb_xml,32768, 3.1653, 1.2147, 5.1593
zstd,500mb_xml,8192, 0.9502, 0.3307, 6.0399
zstd,500mb_xml,2048, 0.5366, 0.1046, 6.5364
zstd,500mb_xml,512, 0.1876, 0.0546, 6.7145
zstd,500mb_xml,128, 0.0658, 0.0305, 6.9958
zstd,500mb_xml,32, 0.0468, 0.0163, 6.8314
zstd,500mb_xml,8, 0.0468, 0.0163, 6.8314
snappy,500mb_xml,131072, 19.1165, 8.0723, 2.6977
snappy,500mb_xml,32768, 5.5377, 2.2153, 3.3321
snappy,500mb_xml,8192, 1.6230, 0.5405, 3.6995
snappy,500mb_xml,2048, 0.4297, 0.1384, 3.8083
snappy,500mb_xml,512, 0.1794, 0.0489, 3.8364
snappy,500mb_xml,128, 0.0719, 0.0172, 3.8425
snappy,500mb_xml,32, 0.0485, 0.0120, 3.8438
snappy,500mb_xml,8, 0.0485, 0.0120, 3.8438
snappy,500mb_lineitem.parquet,131072, 153.1426, 35.7292, 1.0126
snappy,500mb_lineitem.parquet,32768, 172.7508, 32.9842, 1.0167
snappy,500mb_lineitem.parquet,8192, 146.6002, 26.6510, 1.0192
snappy,500mb_lineitem.parquet,2048, 97.0919, 18.8725, 1.0199
snappy,500mb_lineitem.parquet,512, 42.8263, 8.2792, 1.0201
snappy,500mb_lineitem.parquet,128, 17.5144, 4.0238, 1.0201
snappy,500mb_lineitem.parquet,32, 10.9551, 2.1747, 1.0201
snappy,500mb_lineitem.parquet,8, 4.0551, 0.7860, 1.0201
