Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
tornado 0.6a -2,241.71,358.45,211948032,90077911,42.50,../datasets/silesia.tar
tornado 0.6a -3,141.08,221.30,211948032,72665412,34.28,../datasets/silesia.tar
tornado 0.6a -4,122.93,232.23,211948032,70519718,33.27,../datasets/silesia.tar
tornado 0.6a -5,55.75,157.85,211948032,64133081,30.26,../datasets/silesia.tar
tornado 0.6a -6,32.98,161.95,211948032,62368547,29.43,../datasets/silesia.tar
tornado 0.6a -7,13.45,173.58,211948032,59033543,27.85,../datasets/silesia.tar
tornado 0.6a -10,3.72,170.41,211948032,57594282,27.17,../datasets/silesia.tar
tornado 0.6a -13,5.30,173.89,211948032,55666622,26.26,../datasets/silesia.tar
tornado 0.6a -16,2.04,0.00,211948032,53357952,25.18,../datasets/silesia.tar
ucl_nrv2b 1.03 -1,35.96,254.18,211948032,81703386,38.55,../datasets/silesia.tar
ucl_nrv2b 1.03 -6,14.71,289.98,211948032,73902491,34.87,../datasets/silesia.tar
ucl_nrv2b 1.03 -9,1.42,315.09,211948032,71031554,33.51,../datasets/silesia.tar
ucl_nrv2d 1.03 -1,36.92,259.01,211948032,81462223,38.43,../datasets/silesia.tar
ucl_nrv2d 1.03 -6,14.81,291.86,211948032,73757971,34.80,../datasets/silesia.tar
ucl_nrv2d 1.03 -9,1.45,315.17,211948032,70054270,33.05,../datasets/silesia.tar
ucl_nrv2e 1.03 -1,33.22,258.08,211948032,81195806,38.31,../datasets/silesia.tar
ucl_nrv2e 1.03 -6,14.98,294.28,211948032,73302308,34.59,../datasets/silesia.tar
ucl_nrv2e 1.03 -9,1.42,317.37,211948032,69645508,32.86,../datasets/silesia.tar
xpack 2016-06-02 -1,108.39,539.91,211948032,71100759,33.55,../datasets/silesia.tar
xpack 2016-06-02 -6,34.59,638.33,211948032,62220372,29.36,../datasets/silesia.tar
xpack 2016-06-02 -9,13.48,644.92,211948032,61249038,28.90,../datasets/silesia.tar
xz 5.2.5 -0,17.28,48.29,211948032,62579830,29.53,../datasets/silesia.tar
xz 5.2.5 -3,7.01,60.67,211948032,55746407,26.30,../datasets/silesia.tar
xz 5.2.5 -6,2.49,65.20,211948032,49203773,23.22,../datasets/silesia.tar
xz 5.2.5 -9,2.22,63.30,211948032,48752166,23.00,../datasets/silesia.tar
yalz77 2015-09-19 -1,82.17,354.87,211948032,93953911,44.33,../datasets/silesia.tar
yalz77 2015-09-19 -4,50.30,359.41,211948032,87394007,41.23,../datasets/silesia.tar
yalz77 2015-09-19 -8,34.37,369.43,211948032,85164361,40.18,../datasets/silesia.tar
yalz77 2015-09-19 -12,25.72,351.33,211948032,84062410,39.66,../datasets/silesia.tar
yappy 2014-03-22 -1,116.11,1937.72,211948032,105751194,49.89,../datasets/silesia.tar
yappy 2014-03-22 -10,87.03,2048.39,211948032,100018980,47.19,../datasets/silesia.tar
yappy 2014-03-22 -100,64.86,2065.92,211948032,98672865,46.56,../datasets/silesia.tar
zlib 1.2.11 -1,67.42,277.29,211948032,77260159,36.45,../datasets/silesia.tar
zlib 1.2.11 -6,24.04,294.54,211948032,68228666,32.19,../datasets/silesia.tar
zlib 1.2.11 -9,10.02,297.60,211948032,67644160,31.92,../datasets/silesia.tar
zling 2018-10-12 -0,65.49,169.64,211948032,63024776,29.74,../datasets/silesia.tar
zling 2018-10-12 -1,58.88,172.68,211948032,62056383,29.28,../datasets/silesia.tar
zling 2018-10-12 -2,53.73,173.99,211948032,61537220,29.03,../datasets/silesia.tar
zling 2018-10-12 -3,47.76,174.91,211948032,61036326,28.80,../datasets/silesia.tar
zling 2018-10-12 -4,40.78,175.89,211948032,60664934,28.62,../datasets/silesia.tar
zstd 1.5.5 -1,324.42,1072.18,211948032,73425364,34.64,../datasets/silesia.tar
zstd 1.5.5 -2,246.29,802.59,211948032,69497909,32.79,../datasets/silesia.tar
zstd 1.5.5 -5,95.07,655.92,211948032,63041372,29.74,../datasets/silesia.tar
zstd 1.5.5 -8,51.52,694.32,211948032,60018135,28.32,../datasets/silesia.tar
zstd 1.5.5 -11,25.10,639.20,211948032,58266400,27.49,../datasets/silesia.tar
zstd 1.5.5 -15,6.86,641.35,211948032,57174266,26.98,../datasets/silesia.tar
zstd 1.5.5 -18,3.18,582.93,211948032,53427707,25.21,../datasets/silesia.tar
zstd 1.5.5 -22,1.87,574.34,211948032,52454471,24.75,../datasets/silesia.tar
shrinker 0.1,675.87,2582.21,211948032,172535846,81.40,../datasets/silesia.tar
wflz 2015-09-16,198.84,883.48,211948032,109605572,51.71,../datasets/silesia.tar
lzmat 1.01,27.72,365.82,211948032,76485618,36.09,../datasets/silesia.tar

