Standard,File,chunks,decompression_throughput_GBps,compression_throughput_GBps,ratio
snappy,500mb_dickens,131072, 9.9960, 3.2003, 1.3365
snappy,500mb_dickens,32768, 7.1948, 1.7101, 1.4236
snappy,500mb_dickens,8192, 2.1770, 0.7642, 1.4777
snappy,500mb_dickens,2048, 0.8002, 0.2102, 1.4931
snappy,500mb_dickens,512, 0.2004, 0.0722, 1.4970
snappy,500mb_dickens,128, 0.0508, 0.0181, 1.4979
snappy,500mb_dickens,32, 0.0206, 0.0073, 1.4984
snappy,500mb_dickens,8, 0.0205, 0.0072, 1.4984
zstd,500mb_dickens,131072, 4.9661, 0.8490, 2.0148
zstd,500mb_dickens,32768, 3.1154, 0.9401, 2.2146
zstd,500mb_dickens,8192, 0.8656, 0.4942, 2.3301
zstd,500mb_dickens,2048, 0.5167, 0.1781, 2.3904
zstd,500mb_dickens,512, 0.2063, 0.0870, 2.4095
zstd,500mb_dickens,128, 0.0637, 0.0243, 2.4127
zstd,500mb_dickens,32, 0.0218, 0.0089, 2.4169
zstd,500mb_dickens,8, 0.0218, 0.0089, 2.4169
snappy,500mb_mozilla,131072, 17.5601, 5.0778, 1.7476
snappy,500mb_mozilla,32768, 15.6635, 3.9621, 1.8399
snappy,500mb_mozilla,8192, 11.1920, 2.8056, 1.8860
snappy,500mb_mozilla,2048, 3.4737, 1.3811, 1.8990
snappy,500mb_mozilla,512, 1.2863, 0.5526, 1.9018
snappy,500mb_mozilla,128, 0.3808, 0.1515, 1.9027
snappy,500mb_mozilla,32, 0.0998, 0.0385, 1.9030
snappy,500mb_mozilla,8, 0.0356, 0.0135, 1.9030
zstd,500mb_mozilla,131072, 6.6775, 1.1152, 2.2733
zstd,500mb_mozilla,32768, 7.1651, 1.3169, 2.4882
zstd,500mb_mozilla,8192, 4.8763, 1.2981, 2.5890
zstd,500mb_mozilla,2048, 3.5812, 1.0776, 2.6654
zstd,500mb_mozilla,512, 1.6438, 0.5849, 2.6940
zstd,500mb_mozilla,128, 0.4897, 0.1644, 2.7034
zstd,500mb_mozilla,32, 0.1326, 0.0563, 2.7067
snappy,500mb_mr,131072, 16.9199, 3.8785, 1.6825
snappy,500mb_mr,32768, 11.1033, 2.0185, 1.7419
snappy,500mb_mr,8192, 2.9687, 0.7220, 1.7671
snappy,500mb_mr,2048, 0.7731, 0.2246, 1.7741
snappy,500mb_mr,512, 0.3485, 0.0874, 1.7757
snappy,500mb_mr,128, 0.0900, 0.0234, 1.7761
snappy,500mb_mr,32, 0.0385, 0.0104, 1.7762
snappy,500mb_mr,8, 0.0385, 0.0104, 1.7762
zstd,500mb_mr,131072, 5.1844, 1.1875, 2.4399
zstd,500mb_mr,32768, 3.4682, 1.4023, 2.6066
zstd,500mb_mr,8192, 1.0858, 0.6015, 2.6608
zstd,500mb_mr,2048, 0.5923, 0.2039, 2.6828
zstd,500mb_mr,512, 0.2954, 0.1163, 2.6855
zstd,500mb_mr,128, 0.0921, 0.0345, 2.6899
zstd,500mb_mr,32, 0.0310, 0.0123, 2.6922
zstd,500mb_mr,8, 0.0310, 0.0123, 2.6924
snappy,500mb_nci,131072, 25.2394, 7.8626, 3.7140
snappy,500mb_nci,32768, 28.5365, 6.4570, 4.5730
snappy,500mb_nci,8192, 20.8496, 3.9575, 5.1333
snappy,500mb_nci,2048, 7.1708, 1.8868, 5.2974
snappy,500mb_nci,512, 2.6445, 0.5947, 5.3398
snappy,500mb_nci,128, 0.7062, 0.1797, 5.3492
snappy,500mb_nci,32, 0.1887, 0.0465, 5.3514
snappy,500mb_nci,8, 0.0921, 0.0228, 5.3535
zstd,500mb_nci,131072, 7.2792, 2.1871, 6.2929
zstd,500mb_nci,32768, 12.0359, 3.6030, 8.4655
zstd,500mb_nci,8192, 8.1936, 3.5704, 9.8769
zstd,500mb_nci,2048, 3.9313, 1.2171, 10.4427
zstd,500mb_nci,512, 1.5313, 0.6830, 10.5986
zstd,500mb_nci,128, 0.4737, 0.2206, 10.6356
zstd,500mb_nci,32, 0.1273, 0.0786, 10.6277
snappy,500mb_samba,131072, 18.5918, 5.0981, 2.1021
snappy,500mb_samba,32768, 13.7968, 3.5301, 2.3446
snappy,500mb_samba,8192, 5.3590, 1.8046, 2.5034
snappy,500mb_samba,2048, 1.6190, 0.5688, 2.5475
snappy,500mb_samba,512, 0.6512, 0.2008, 2.5600
snappy,500mb_samba,128, 0.1940, 0.0626, 2.5625
snappy,500mb_samba,32, 0.0612, 0.0185, 2.5632
snappy,500mb_samba,8, 0.0460, 0.0139, 2.5635
zstd,500mb_samba,131072, 5.9034, 1.0818, 2.8468
zstd,500mb_samba,32768, 5.5905, 1.2494, 3.3258
zstd,500mb_samba,8192, 2.4280, 1.1233, 3.7031
zstd,500mb_samba,2048, 1.4292, 0.4226, 3.9511
zstd,500mb_samba,512, 0.5674, 0.2012, 4.0410
zstd,500mb_samba,128, 0.2311, 0.0885, 4.0547
zstd,500mb_samba,32, 0.0674, 0.0328, 4.0611
snappy,500mb_sao,131072, 14.6777, 5.4153, 1.0851
snappy,500mb_sao,32768, 7.7707, 3.8816, 1.1020
snappy,500mb_sao,8192, 2.0160, 1.0299, 1.1066
snappy,500mb_sao,2048, 0.5339, 0.2701, 1.1078
snappy,500mb_sao,512, 0.1815, 0.0857, 1.1081
snappy,500mb_sao,128, 0.0473, 0.0245, 1.1082
snappy,500mb_sao,32, 0.0266, 0.0138, 1.1082
snappy,500mb_sao,8, 0.0266, 0.0138, 1.1082
zstd,500mb_sao,131072, 5.5508, 0.7983, 1.1883
zstd,500mb_sao,32768, 3.0866, 0.9454, 1.2737
zstd,500mb_sao,8192, 1.0487, 0.4909, 1.3047
zstd,500mb_sao,2048, 0.6150, 0.1432, 1.3162
zstd,500mb_sao,512, 0.2525, 0.0757, 1.3188
zstd,500mb_sao,128, 0.0684, 0.0213, 1.3193
zstd,500mb_sao,32, 0.0352, 0.0117, 1.3193
zstd,500mb_sao,8, 0.0352, 0.0117, 1.3193
snappy,500mb_silesia.zip,131072, 80.3470, 14.0290, 0.9935
snappy,500mb_silesia.zip,32768, 46.9124, 12.1939, 0.9942
snappy,500mb_silesia.zip,8192, 27.3962, 8.4638, 0.9943
snappy,500mb_silesia.zip,2048, 15.0934, 4.8947, 0.9944
snappy,500mb_silesia.zip,512, 8.4862, 1.8466, 0.9944
snappy,500mb_silesia.zip,128, 3.6650, 0.6751, 0.9944
snappy,500mb_silesia.zip,32, 1.1227, 0.1740, 0.9944
snappy,500mb_silesia.zip,8, 0.2925, 0.0439, 0.9944
zstd,500mb_silesia.zip,131072, 47.3668, 0.9116, 1.0000
zstd,500mb_silesia.zip,32768, 30.0801, 0.9747, 1.0023
zstd,500mb_silesia.zip,8192, 9.7536, 0.8963, 1.0031
snappy,500mb_xml,131072, 12.3990, 4.2497, 2.6977
snappy,500mb_xml,32768, 5.4123, 2.4277, 3.3321
snappy,500mb_xml,8192, 1.6488, 0.5955, 3.6995
snappy,500mb_xml,2048, 0.4446, 0.1647, 3.8083
snappy,500mb_xml,512, 0.2094, 0.0601, 3.8364
snappy,500mb_xml,128, 0.0881, 0.0227, 3.8425
snappy,500mb_xml,32, 0.0579, 0.0157, 3.8438
snappy,500mb_xml,8, 0.0579, 0.0157, 3.8438
zstd,500mb_xml,131072, 4.8811, 1.1781, 3.8179
zstd,500mb_xml,32768, 2.5169, 1.3054, 5.1593
zstd,500mb_xml,8192, 0.7319, 0.3797, 6.0399
zstd,500mb_xml,2048, 0.4231, 0.1158, 6.5364
zstd,500mb_xml,512, 0.1650, 0.0607, 6.7145
zstd,500mb_xml,128, 0.0784, 0.0406, 6.9958
zstd,500mb_xml,32, 0.0557, 0.0215, 6.8314
zstd,500mb_xml,8, 0.0554, 0.0214, 6.8314
